modzcta,applications_2025
10001,53
10002,435
10003,33
10007,2
10009,192
10010,19
10011,38
10012,14
10013,27
10014,10
10016,34
10017,3
10018,8
10019,75
10021,17
10022,6
10023,65
10024,54
10025,191
10026,133
10027,192
10028,17
10029,456
10030,167
10031,323
10032,335
10033,261
10034,266
10035,191
10036,53
10037,120
10038,68
10039,150
10040,208
10044,33
10065,5
10069,5
10075,6
10128,44
10280,1
10282,1
10301,141
10302,58
10303,110
10304,142
10305,71
10306,110
10307,15
10308,29
10309,40
10310,83
10312,61
10314,166
10451,372
10452,607
10453,634
10454,222
10455,306
10456,674
10457,664
10458,507
10459,363
10460,441
10461,204
10462,401
10463,268
10464,8
10465,188
10466,290
10467,638
10468,504
10469,234
10470,70
10471,36
10472,365
10473,335
10474,64
10475,29
11004,14
11101,124
11102,76
11103,30
11104,56
11105,36
11106,94
11109,1
11201,70
11203,190
11204,306
11205,209
11206,589
11207,495
11208,425
11209,127
11210,150
11211,605
11212,417
11213,263
11214,251
11215,50
11216,144
11217,87
11218,204
11219,665
11220,279
11221,266
11222,73
11223,196
11224,286
11225,105
11226,269
11228,72
11229,171
11230,235
11231,74
11232,41
11233,300
11234,155
11235,221
11236,214
11237,102
11238,101
11239,33
11354,144
11355,295
11356,31
11357,51
11358,79
11360,15
11361,30
11362,15
11363,8
11364,40
11365,81
11366,21
11367,108
11368,153
11369,59
11370,43
11372,96
11373,143
11374,82
11375,71
11377,156
11378,52
11379,42
11385,155
11411,30
11412,89
11413,87
11414,36
11415,34
11416,62
11417,68
11418,71
11419,75
11420,70
11421,80
11422,54
11423,57
11426,22
11427,34
11428,37
11429,50
11432,116
11433,101
11434,163
11435,137
11436,41
11691,301
11692,95
11693,64
11694,30
